verben,präpositionen
abhängen, von+d
achten, auf+a
anfangen, mit+d
es kommt an, auf+a
sich anmelden, zu+d
jemand/etwas ansehen, als+a
jemandem antworten, auf+a
sich ägern, über+a
jemand auffordern, zu+d
aufhören, mit+d
aufpassen, auf+a
sich aufregen, über+a
auskommen, mit+d
sich bedanken, bei+d für+a
sich beeilen, mit+d
sich befassen, mit+d
sich befreien, von+d
beginnen, mit+d
jemand beglückwünschen, zu+d
beitragen, zu+d
sich beklagen, über+a
sich bemühen (sich Mühe geben um etwas zu erreichen), um+a
sich bemühen (versuchen jemandem zu helfen), um+a
jemand beneiden, um+a
etwas benutzen (für einen Zweck einsetzen), für+a 
etwas benutzen (in einer Funktion einsetzen), als+a
berichten, über+a
sich beschäftigen, mit+d
sich beschränken, auf+a
sich beschweren, bei+d über+a
bestehen, aus+d
sich beteiligen, an+d
sich bewerben, um+a
bezeichnen, als+a
sich beziehen, auf+a
jemanden bitten, um+a
jemanden bringen, zu+d
jemandem danken, für+a
demostrieren, für+a gegen+a
denken (seine Gedanken auf jn/etwA konzentrieren), an+a
etwas denken (jm eine Eigenschaft zuordern), von+d
etwas denken (eine Meinung zu etwD haben), über+a
jemandem dienen (Zweck haben), zu+d
jemandem dienen (Funktion haben), als+n
diskutieren, mit+d über+a
sich einigen (für eine Zielgruppe), für+a
sich einigen (für einen Zweck), für+a zu+d
sich einigen (für eine Funktion), als
sich einigen, mit+d über+a auf+a
jemanden einleiden, zu+d
sich einmischen, in+a
sich einsetzen, für+a
sich engagieren, für+a
sich entscheiden (mehrere Möglichkeiten), für+a gegen+a
entscheiden (in einer schwierigen Situation einen Entschluss treffen), über+a
sich entschließen, zu+d
sich entschuldigen, bei+d für+a
entstehen, aus+d
sich erholen, von+d
sich erinnern, an+a
jemanden/etwas erkennen, an+d
erkranken, an+d
sich erkundigen, bei+d nach+d
sich ernähren, von+d
jemanden ernennen, zu+d
erschrecken (man fühlt sich direkt von etwD bedroht), vor+d
erschrecken (man etwas Schlimmes sieht), über+a
etwas ersetzen, durch+a
etwas erwarten, von+d
jemandem etwas erzählen, von+d
jemanden erziehen, zu+d
es fehlt, an+d
fliehen, vor+d
flüchten, vor+d
fordern, von+d
fragen, nach+d
sich freuen (man erwartet etwas Gutes), auf+a
sich freuen (etwas Gutes passiert ist), über+a
führen, zu+d
sich füchtern, vor+d
es geht, um+a
gehören, zu+d
gelten (jemanden/etwas betreffen), für+a
gelten (angesehen werden als etwas), als+n
geraten, in+a
sich gewöhnen, an+a
glauben, an+a
jemandem gratulieren, zu+d
grenzen, an+a
sich halten, an+a
viel/wenig/nichts halten (eine gute/schlechte Meinung haben), von+d
sich/jemanden halten (sich/jn beurteilen als), für+a
handeln (Handel treiben), mit+d
handeln (zum Thema haben), von+d
es handelt sich, bei+d um+a
jemandem helfen, bei+d
jemanden hindern, an+d
hoffen, auf+a
hören (einen Rat befolgen), auf+a
etwas hören, von+d
sich informieren, über+a
sich interessieren, für+a
kämpfen (Probleme überwinden), mit+d
kämpfen, gegen+a
kämpfen (sich darum bemühen etwas zu bekommen), um+a
klagen, über+a
es kommt, zu+d
sich konzentrieren, auf+a
sich kümmern, um+a
lachen, über+a
leben, von+d
leiden (eine Krankheit haben), an+d
leiden (eine negative Situation), unter+d
liegen (verursacht werden), an+d
es mangelt, an+d
mitmachen, bei+d
mitwirken, bei+d
nachdenken, über+a
passen, zu+d
protestieren, gegen+a
sich rächen, an+d für+a
raten, zu+d
reagieren, auf+a
rechnen, mit+d
riechen, nach+d
sich schämen, vor+d für+a
etwas schätzen, auf+a
scheitern, an+d
etwas schicken, an+a
schießen, auf+a
schimpfen, auf+a
schmecken, nach+d
etwas schreiben, an+a über+a
sich/jemanden/etwas schützen, vor+d
sich sehnen, nach+d
etwas senden, an+a
siegen, über+a
sorgen (sich kümmern um etwas), für+a
sich sorgen (sich Sorgen machen um etwas), um+a
sparen (um etwas zu kaufen), für+a
sprechen (reden mit jemandem), mit+d
sprechen (vor Publikum reden), zu+d
sprechen (über etwas diskutieren), über+a
sprechen (positive/negative Gründen liefern), für+a gegen+a
stammen (seinen Ursprung haben), aus+d
stammen (Eigentum von jemandem sein), von+d
staunen, über+a
sterben, an+d
stimmen, für+a gegen+a
(sich) streiten, mit+d um+a
suchen, nach+d
teilnehmen, an+d
trauern, um+a
träumen, von+d
sich treffen, mit+d
sich/jemanden trennen, von+d
jemanden überreden, zu+d
etwas übersetzen, aus+d
jemanden überzeugen, von+d
sich unterhalten, mit+d über+a
sich unterscheiden (anders als jemand anderes sein), von+d in+d
unterscheiden (einen Unterschied machen), zwischen+d
sich verabreden, mit+d zu+d
sich verabschieden, vom+d
jemanden/etwas verbinden, mit+d
verflügen, über+a
sich/jemanden vergleichen, mit+d
verhandeln, mit+d über+a
verlangen, nach+d
sich verlassen, auf+a
sich verlieben, in+a
sich versöhnen, mit+d
verstoßen, gegen+a
etwas vertauschen, mit+d
sich/jemanden/etwas verteidigen, gegen+a
etwas verteilen, an+a
sich vertragen, mit+d
jemanden verurteilen, zu+d
sich/jemanden/etwas verwandeln, mit+d
jemanden/etwas verwechseln, mit+d
verzichten, auf+a
sich vorbereiten, auf+a
jemanden wählen, zu+d
jemanden warnen, vor+d
warten, auf+a mit+d
sich wehren, gegen+a
weinen, über+a
sich wenden (jemanden um Hilfe bitten), an+a
sich wenden (etwas kritisieren), gegen+a
werben (Werbung machen), für+a
werben (sich um etwas zu bemühen), um+a
wetten, um+a
wirken (Einfluss haben), auf+a
wirken (einen Eindruck machen), auf+a
viel/wenig/nichts wissen, von+d
sich wundern, über+a
zögern, mit+d
zusammenstoßen, mit+d
zweifeln, an+d
sich/jemanden zwingen, zu+d
